base_canon,base_example_token,base_vocab_key,base_freq,candidate_token_raw,candidate_token_clean,candidate_freq,similarity,category,source,Y/N
acc,acc,'acc',592,'beanie',beanie,65,0.659305,ITEM,word2vec,
acc,acc,'acc',592,'sandal',sandal,42,0.637799,ITEM,word2vec,
acc,acc,'acc',592,'all',all,721,0.63096,ITEM,word2vec,
acc,acc,'acc',592,'죠셉트',죠셉트,5,0.623262,ITEM,word2vec,
acc,acc,'acc',592,'퍽트',퍽트,6,0.601052,ITEM,word2vec,
acc,acc,'acc',592,'차바리아',차바리아,21,0.591546,ITEM,word2vec,
acc,acc,'acc',592,'lucy',lucy,10,0.591498,ITEM,word2vec,
acc,acc,'acc',592,'legarcy',legarcy,18,0.588899,ITEM,word2vec,
acc,acc,'acc',592,'tshirt',tshirt,209,0.584926,ITEM,word2vec,
acc,acc,'acc',592,'runners',runners,8,0.577149,ITEM,word2vec,
acc,acc,'acc',592,'optimistic',optimistic,7,0.576751,ITEM,word2vec,
acc,acc,'acc',592,'watch',watch,169,0.571795,ITEM,word2vec,
acg,acg,'acg',879,'스톰핏',스톰핏,14,0.780166,BRAND,word2vec,
acg,acg,'acg',879,'가이아',가이아,6,0.725354,BRAND,word2vec,
acg,acg,'acg',879,'로프드도프',로프드도프,32,0.716645,BRAND,word2vec,
acg,acg,'acg',879,'써마핏',써마핏,9,0.71277,BRAND,word2vec,
acg,acg,'acg',879,'캐스케이드',캐스케이드,6,0.701371,BRAND,word2vec,
acg,acg,'acg',879,'케스',케스,8,0.69375,BRAND,word2vec,
acg,acg,'acg',879,'서밋',서밋,77,0.68557,BRAND,word2vec,
acg,acg,'acg',879,'파타',파타,62,0.683773,BRAND,word2vec,
acg,acg,'acg',879,'카하2',카하2,5,0.669164,BRAND,word2vec,
acg,acg,'acg',879,'릿지',릿지,9,0.667089,BRAND,word2vec,
acg,acg,'acg',879,'미저리',미저리,11,0.654481,BRAND,word2vec,
acg,acg,'acg',879,'모디세이',모디세이,5,0.653241,BRAND,word2vec,
acg,acg,'acg',879,'호른',호른,12,0.649581,BRAND,word2vec,
acg,acg,'acg',879,'루나',루나,141,0.646913,BRAND,word2vec,
aw,aw,'aw',463,'딜리버리',딜리버리,19,0.68346,STYLE,word2vec,
aw,aw,'aw',463,'카나파',카나파,6,0.67036,STYLE,word2vec,
aw,aw,'aw',463,'요코사카모토',요코사카모토,23,0.646131,STYLE,word2vec,
aw,aw,'aw',463,'jkt',jkt,52,0.6442,STYLE,word2vec,
aw,aw,'aw',463,'어드레서샵',어드레서샵,8,0.644197,STYLE,word2vec,
aw,aw,'aw',463,'thorson',thorson,12,0.643173,STYLE,word2vec,
aw,aw,'aw',463,'로웨',로웨,5,0.642609,STYLE,word2vec,
aw,aw,'aw',463,'silk',silk,62,0.641224,STYLE,word2vec,
