YEAR,TOKEN_TYPE,token,count,share
2022,BRAND,acg,203,0.14400635614261595
2022,BRAND,cp컴퍼니,128,0.0908020373707135
2022,BRAND,etce,1011,0.717194217045245
2022,BRAND,jw앤더슨,120,0.08512691003504391
2022,BRAND,lee,216,0.15322843806307904
2022,BRAND,lmc,341,0.24190230268291646
2022,BRAND,mlb,419,0.297234794205695
2022,BRAND,mmgl,771,0.5469403969751571
2022,BRAND,mmrb,1331,0.9441993104720288
2022,BRAND,mngu,280,0.19862945674843582
2022,BRAND,new,159,0.11279315579643319
2022,BRAND,oam,835,0.5923414156605139
2022,BRAND,rrl,367,0.26034646652384263
2022,BRAND,ymclky,111,0.07874239178241561
2022,BRAND,구찌,451,0.3199353035483734
2022,BRAND,굿라이프웍스,148,0.10498985570988749
2022,BRAND,그라더스,119,0.08441751911808522
2022,BRAND,그라미치,288,0.20430458408410537
2022,BRAND,그레일즈,334,0.23693656626420553
2022,BRAND,그리쉬,132,0.09363960103854829
2022,BRAND,꼼데가르송,460,0.32631982180100166
2022,BRAND,나나미카,72,0.05107614602102634
2022,BRAND,나이키,7827,5.552402707035739
2022,BRAND,네이더스,462,0.3277386036349191
2022,BRAND,노메뉴얼,202,0.14329696522565724
2022,BRAND,노스페이스,1067,0.7569201083949321
2022,BRAND,뉴발란스,4810,3.4121703105713435
2022,BRAND,뉴에라,304,0.21565483875544458
2022,BRAND,뉴치프시크,134,0.0950583828724657
2022,BRAND,다이브인,37,0.026247463927471872
2022,BRAND,닥터마틴,852,0.6044010612488118
2022,BRAND,더뮤지엄비지터,911,0.646255125349375
2022,BRAND,더콜디스트모먼트,305,0.2163642296724033
2022,BRAND,던스트,255,0.18089468382446833
2022,BRAND,데우스엑스마키나,152,0.10782741937772229
2022,BRAND,도프제이슨,1709,1.212349077082417
2022,BRAND,드레익스,71,0.05036675510406765
2022,BRAND,드로우핏,1220,0.8654569186896132
2022,BRAND,디스이즈네버댓,462,0.3277386036349191
2022,BRAND,디앤써,359,0.25467133918817303
2022,BRAND,디젤,117,0.08299873728416782
2022,BRAND,디키즈,287,0.2035951931671467
2022,BRAND,라코스테,192,0.13620305605607028
2022,BRAND,라퍼지스토어,1085,0.7696891449001887
2022,BRAND,라프시몬스,204,0.14471574705957466
2022,BRAND,랄프로렌,525,0.3724302314033171
2022,BRAND,레드윙,242,0.1716726019040052
2022,BRAND,로맨틱무브,1944,1.3790559425677114
2022,BRAND,루이비통,204,0.14471574705957466
2022,BRAND,르메르,524,0.3717208404863584
2022,BRAND,리넥츠,76,0.053913709688861146
2022,BRAND,리바이스,869,0.6164607068371097
2022,BRAND,리복,366,0.2596370756068839
2022,BRAND,리얼 맥코이,15,0.010640863754380489
2022,BRAND,릭오웬스,303,0.2149454478384859
2022,BRAND,마틴로즈,1582,1.1222564306286622
2022,BRAND,마틴플랜,481,0.34121703105713436
2022,BRAND,메종마르지엘라,1192,0.8455939730147695
