token,term_freq,doc_freq,category,canonical_form
키,85965,80463,,
몸무게,79571,76588,,
거,69223,45710,,
것,56724,35402,,
구매,52334,30600,,
사이즈,51983,27695,,
나이,51022,50116,,
액세서리,49791,46425,,
제품,48946,28019,,
아우터,40694,34004,,
저,39884,25373,,
선택,37111,32731,,
중,36314,28632,,
고민,34360,27446,,
기타,30789,26591,,
추천,28989,24693,,
분,28947,23226,,
협찬,28931,19123,,
신발,28102,21119,,
수,27690,18793,,
사진,25734,18204,,
브랜드,24516,16664,,
자켓,23895,13899,,
만,23470,17721,,
느낌,23269,15745,,
때,22846,17057,,
번,22575,15648,,
생각,22206,16088,,
원,21570,14791,,
부탁,21512,20566,,
옷,21173,14075,,
가격,21030,16510,,
nan,20756,20756,,
바지,20021,14162,,
정도,19274,15081,,
하나,19124,15910,,
셔츠,18783,11502,,
발,17486,11875,,
일,17404,11086,,
보세,16810,11065,,
블랙,16564,11346,,
팬츠,16543,11258,,
뭐,16084,14578,,
x,15543,11259,,
나이키,15471,12910,,
데님,15183,9755,,
이번,13490,11413,,
코디,13289,10653,,
드,13125,10163,,
핏,12685,9380,,
스타일,12233,9099,,
가방,12213,9845,,
상의,12208,9608,,
업,11993,8643,,
표,11764,4787,,
룩,11602,9369,,
유니클로,11511,8207,,
평소,11447,10835,,
개,11293,9142,,
니트,11200,7884,,
감사,10725,10016,,
빈티지,10618,6938,,
코트,10609,6048,,
하의,10287,8058,,
리,10279,7839,,
링크,10244,3791,,
모자,10152,7430,,
색,10115,7926,,
가능,10112,8604,,
인스타,10110,6565,,
첨부,10046,3838,,
뉴발란스,9850,8455,,
글,9700,7686,,
m,9658,6658,,
이거,9596,8402,,
필요시,9331,3193,,
요즘,9311,8192,,
색상,9201,6707,,
년,9070,6076,,
전,8968,7741,,
기장,8962,6216,,
등,8946,7214,,
여름,8939,7174,,
데,8812,8003,,
그레이,8720,6373,,
컬러,8661,5680,,
와이드,8623,6376,,
티,8619,6805,,
월,8580,4464,,
백,8530,6369,,
블루,8503,6175,,
폴로,8407,5607,,
아디다스,8169,6913,,
둘,8144,7114,,
시,8090,6281,,
듯,8039,6349,,
집,8028,6339,,
패딩,7912,5174,,
할인,7878,5854,,
아이템,7865,6908,,
l,7813,5495,,
안녕,7747,7709,,
s,7508,4426,,
디자인,7493,5510,,
물건,7472,4060,,
처음,7442,6632,,
필수,7289,7156,,
cm,7275,6095,,
날,7249,5520,,
매장,7241,5128,,
반스,7150,6229,,
디테일,7114,3985,,
착,7081,5804,,
반팔,7077,5698,,
볼,7074,5642,,
신사,7005,5808,,
아식스,7003,5999,,
착용,6994,5478,,
나,6989,5248,,
무드,6983,5542,,
샷,6970,5733,,
곳,6965,5571,,
날씨,6914,6212,,
위,6884,5788,,
정보,6877,6082,,
신체,6804,3632,,
편,6793,5754,,
표기,6732,6655,,
무탠다드,6700,5687,,
부분,6696,4551,,
카페,6670,5025,,
마음,6625,5457,,
오,6603,5558,,
색감,6573,4916,,
오늘,6558,5851,,
패션,6547,5267,,
장,6538,5246,,
런,6510,5319,,
컨버스,6488,5853,,
스팩,6425,3283,,
브라운,6387,4629,,
투표,6387,5561,,
네이비,6256,4584,,
말,6210,4868,,
살,6199,5303,,
사람,6178,4542,,
티셔츠,6138,4033,,
가죽,6121,3768,,
감,6081,4864,,
청,6075,4091,,
원단,6046,3322,,
만족,6045,4925,,
맘,5966,5068,,
비,5950,5048,,
에어포스,5917,5327,,
친구,5908,4563,,
후기,5868,4526,,
지,5854,5146,,
눈,5842,5182,,
후드,5813,4280,,
xl,5631,3902,,
포인트,5601,4625,,
겨울,5557,4538,,
형,5516,4904,,
kg,5449,5020,,
결과,5433,5254,,
엘,5407,3999,,
이상,5357,4710,,
후,5332,4349,,
링,5300,4103,,
뉴,5282,4442,,
모델,5278,3815,,
화이트,5268,4127,,
어디,5219,4904,,
캐주얼,5180,4594,,
스투시,5123,4085,,
시즌,5084,3597,,
이유,5044,4749,,
부츠,5038,3635,,
노,5011,4323,,
주,4986,4322,,
허리,4924,3290,,
이름,4908,4432,,
일본,4885,3430,,
라,4855,4293,,
인,4834,4227,,
세일,4833,3410,,
소재,4819,3450,,
조던,4767,4000,,
끈,4735,3017,,
보,4732,4035,,
외,4729,4567,,
디,4718,4054,,
비슷,4691,4385,,
벨트,4677,3343,,
캡,4665,3766,,
시간,4650,3633,,
등등,4604,4476,,
미니멀,4603,4095,,
아카이브,4591,3979,,
카,4536,3719,,
크림,4490,3675,,
이,4485,3322,,
반,4451,3765,,
샵,4413,3243,,
이너,4409,3569,,
이것,4391,3931,,
가을,4379,3713,,
개인,4368,3343,,
품,4305,3505,,
발렌시아,4295,2766,,
기본,4269,3489,,
아래,4253,3767,,
포터,4253,3271,,
마,4233,3128,,
때문,4208,3551,,
차이,4195,3372,,
사,4193,3630,,
구입,4186,2940,,
포스,4182,3538,,
질문,4165,3761,,
안경,4144,2831,,
필요,4129,3762,,
봄,4127,3523,,
ex,4094,1457,,
점,4087,3074,,
안,4085,3590,,
맛,4066,3514,,
가디건,4063,2997,,
마틴,4053,3498,,
앞,4052,3521,,
최근,4035,3588,,
공,4033,3438,,
쪽,4012,3371,,
터,3995,3559,,
검정,3995,3223,,
슬랙스,3989,3198,,
모드나인,3981,3432,,
쿠어,3973,3011,,
차,3970,2930,,
아웃,3967,3277,,
깔끔,3953,3446,,
스토어,3946,3197,,
예정,3939,2746,,
리바이스,3900,2850,,
인사,3899,3288,,
정가,3873,3359,,
품절,3850,3516,,
나머지,3842,3804,,
홈,3839,3237,,
오버,3824,3037,,
진,3822,3015,,
사용,3817,2749,,
대,3790,3329,,
치노,3782,2637,,
데일리,3768,3470,,
팔,3753,3020,,
풀,3738,2695,,
청바지,3736,2979,,
웨어,3703,2726,,
활용,3695,3246,,
슈프림,3692,2801,,
라인,3671,2374,,
슬로우,3631,3153,,
etce,3626,2625,,
앤더슨벨,3607,2439,,
울,3606,2488,,
여기,3606,3146,,
스튜디오,3602,3154,,
알,3591,2645,,
오랜만,3584,3277,,
더블,3561,2523,,
단,3555,2744,,
자바나스,3526,3087,,
소장,3511,3423,,
퍼,3496,2892,,
돈,3474,2990,,
로고,3469,2527,,
사항,3461,3406,,
여행,3459,2706,,
하이,3454,2992,,
시작,3452,2881,,
수선,3445,2192,,
손,3423,3033,,
주말,3423,3031,,
베이지,3414,2639,,
칼,3393,2750,,
더비,3391,2496,,
정,3373,2937,,
다음,3372,2876,,
rrl,3363,1634,,
유니온,3352,2682,,
스트릿,3328,2974,,
무난,3324,2795,,
세탁,3311,2040,,
쿠폰,3297,2692,,
꺼,3289,3019,,
바,3283,2806,,
코,3265,2552,,
여유,3256,2617,,
스탠다드,3247,2722,,
콜라,3244,2697,,
로맨틱무브,3223,2896,,
선물,3210,2526,,
체험,3194,2410,,
팁,3192,2885,,
레드,3191,2518,,
더,3185,2779,,
작년,3184,2673,,
남자,3183,2823,,
참고,3171,2917,,
쇼핑,3163,2536,,
스타,3162,2738,,
매치,3151,2643,,
레,3150,2501,,
팩,3142,2425,,
맨투맨,3134,2471,,
로우,3117,2580,,
줄,3114,2776,,
포켓,3091,1954,,
산,3080,1706,,
아,3076,2808,,
확인,3071,2711,,
배송,3058,2377,,
하트,3053,2409,,
완료,3053,2955,,
매물,3030,2556,,
상품,3017,2312,,
즈,3013,2628,,
마지막,3001,2729,,
서울,2968,2146,,
지퍼,2938,1783,,
워크,2933,2094,,
구경,2933,2424,,
달,2922,2540,,
칸,2897,1948,,
기준,2877,2452,,
유행,2873,2344,,
주문,2865,2350,,
댓글,2860,2501,,
어깨,2857,2215,,
종,2852,2072,,
피,2849,2452,,
셀,2828,2207,,
가성비,2828,2500,,
팝업,2812,1379,,
하루,2792,2547,,
해당,2791,2516,,
미,2773,2369,,
셋,2770,2198,,
next,2763,1694,,
image,2757,1688,,
토,2745,2026,,
입,2742,2332,,
가지,2741,2337,,
답변,2721,2585,,
전체,2719,2081,,
추가,2715,2316,,
톤,2711,1957,,
실물,2706,2367,,
회원,2692,2353,,
판매,2679,2114,,
스탠딩,2677,2216,,
머리,2677,2001,,
