token,term_freq,doc_freq,category,canonical_form
키,85965,80463,OTHER,키
몸무게,79571,76588,OTHER,몸무게
거,69223,45710,STOPWORD,
것,56724,35402,STOPWORD,
구매,52334,30600,OTHER,구매
사이즈,51983,27695,OTHER,사이즈
나이,51022,50116,OTHER,나이
액세서리,49791,46425,OTHER,액세서리
제품,48946,28019,OTHER,제품
아우터,40694,34004,ITEM,아우터
저,39884,25373,STOPWORD,
선택,37111,32731,OTHER,선택
중,36314,28632,OTHER,중
고민,34360,27446,OTHER,고민
기타,30789,26591,OTHER,기타
추천,28989,24693,OTHER,추천
분,28947,23226,OTHER,분
협찬,28931,19123,OTHER,협찬
신발,28102,21119,ITEM,신발
수,27690,18793,OTHER,수
사진,25734,18204,OTHER,사진
브랜드,24516,16664,OTHER,브랜드
자켓,23895,13899,ITEM,자켓
만,23470,17721,OTHER,만
느낌,23269,15745,OTHER,느낌
때,22846,17057,OTHER,때
번,22575,15648,OTHER,번
생각,22206,16088,OTHER,생각
원,21570,14791,OTHER,원
부탁,21512,20566,OTHER,부탁
옷,21173,14075,OTHER,옷
가격,21030,16510,OTHER,가격
,20756,20756,STOPWORD,
바지,20021,14162,ITEM,바지
정도,19274,15081,STOPWORD,
하나,19124,15910,STOPWORD,
셔츠,18783,11502,ITEM,셔츠
발,17486,11875,OTHER,발
일,17404,11086,OTHER,일
보세,16810,11065,STYLE,보세
블랙,16564,11346,STYLE,블랙
팬츠,16543,11258,ITEM,팬츠
뭐,16084,14578,OTHER,뭐
x,15543,11259,OTHER,x
나이키,15471,12910,BRAND,나이키
데님,15183,9755,ITEM,데님
이번,13490,11413,OTHER,이번
코디,13289,10653,STYLE,코디
드,13125,10163,OTHER,드
핏,12685,9380,STYLE,핏
스타일,12233,9099,OTHER,스타일
가방,12213,9845,ITEM,가방
상의,12208,9608,ITEM,상의
업,11993,8643,OTHER,업
표,11764,4787,OTHER,표
룩,11602,9369,OTHER,룩
유니클로,11511,8207,BRAND,유니클로
평소,11447,10835,OTHER,평소
개,11293,9142,OTHER,개
니트,11200,7884,ITEM,니트
감사,10725,10016,OTHER,감사
빈티지,10618,6938,STYLE,빈티지
코트,10609,6048,ITEM,코트
하의,10287,8058,ITEM,하의
리,10279,7839,OTHER,리
링크,10244,3791,OTHER,링크
모자,10152,7430,ITEM,모자
색,10115,7926,OTHER,색
가능,10112,8604,OTHER,가능
인스타,10110,6565,OTHER,인스타
첨부,10046,3838,OTHER,첨부
뉴발란스,9850,8455,BRAND,뉴발란스
글,9700,7686,OTHER,글
m,9658,6658,OTHER,m
이거,9596,8402,OTHER,이거
필요시,9331,3193,OTHER,필요시
요즘,9311,8192,OTHER,요즘
색상,9201,6707,OTHER,색상
년,9070,6076,OTHER,년
전,8968,7741,OTHER,전
기장,8962,6216,OTHER,기장
등,8946,7214,STOPWORD,
여름,8939,7174,STYLE,여름
데,8812,8003,OTHER,데
그레이,8720,6373,STYLE,그레이
컬러,8661,5680,OTHER,컬러
와이드,8623,6376,STYLE,와이드
티,8619,6805,ITEM,티
월,8580,4464,OTHER,월
백,8530,6369,ITEM,백
블루,8503,6175,STYLE,블루
폴로,8407,5607,BRAND,폴로
아디다스,8169,6913,BRAND,아디다스
둘,8144,7114,OTHER,둘
시,8090,6281,OTHER,시
듯,8039,6349,OTHER,듯
집,8028,6339,OTHER,집
패딩,7912,5174,ITEM,패딩
할인,7878,5854,OTHER,할인
아이템,7865,6908,ITEM,아이템
l,7813,5495,OTHER,l
안녕,7747,7709,OTHER,안녕
s,7508,4426,OTHER,s
디자인,7493,5510,OTHER,디자인
물건,7472,4060,OTHER,물건
처음,7442,6632,OTHER,처음
필수,7289,7156,OTHER,필수
cm,7275,6095,OTHER,cm
날,7249,5520,OTHER,날
매장,7241,5128,OTHER,매장
반스,7150,6229,BRAND,반스
디테일,7114,3985,OTHER,디테일
착,7081,5804,OTHER,착
반팔,7077,5698,ITEM,반팔티
볼,7074,5642,OTHER,볼
신사,7005,5808,STYLE,신사
아식스,7003,5999,BRAND,아식스
착용,6994,5478,OTHER,착용
나,6989,5248,OTHER,나
무드,6983,5542,STYLE,무드
샷,6970,5733,OTHER,샷
곳,6965,5571,OTHER,곳
날씨,6914,6212,OTHER,날씨
위,6884,5788,OTHER,위
정보,6877,6082,OTHER,정보
신체,6804,3632,OTHER,신체
편,6793,5754,OTHER,편
표기,6732,6655,OTHER,표기
무탠다드,6700,5687,BRAND,무탠다드
부분,6696,4551,OTHER,부분
카페,6670,5025,OTHER,카페
마음,6625,5457,OTHER,마음
오,6603,5558,OTHER,오
색감,6573,4916,OTHER,색감
오늘,6558,5851,OTHER,오늘
패션,6547,5267,OTHER,패션
장,6538,5246,OTHER,장
런,6510,5319,OTHER,런
컨버스,6488,5853,BRAND,컨버스
스팩,6425,3283,OTHER,스팩
브라운,6387,4629,STYLE,브라운
투표,6387,5561,OTHER,투표
네이비,6256,4584,STYLE,네이비
말,6210,4868,OTHER,말
살,6199,5303,OTHER,살
사람,6178,4542,OTHER,사람
티셔츠,6138,4033,ITEM,티셔츠
가죽,6121,3768,STYLE,가죽
감,6081,4864,OTHER,감
청,6075,4091,OTHER,청
원단,6046,3322,OTHER,원단
만족,6045,4925,OTHER,만족
맘,5966,5068,OTHER,맘
비,5950,5048,OTHER,비
에어포스,5917,5327,ITEM,에어포스
친구,5908,4563,OTHER,친구
후기,5868,4526,OTHER,후기
지,5854,5146,OTHER,지
눈,5842,5182,OTHER,눈
후드,5813,4280,ITEM,후드
xl,5631,3902,OTHER,xl
포인트,5601,4625,OTHER,포인트
겨울,5557,4538,STYLE,겨울
형,5516,4904,OTHER,형
kg,5449,5020,OTHER,kg
결과,5433,5254,OTHER,결과
엘,5407,3999,OTHER,엘
이상,5357,4710,OTHER,이상
후,5332,4349,OTHER,후
링,5300,4103,OTHER,링
뉴,5282,4442,OTHER,뉴
모델,5278,3815,OTHER,모델
화이트,5268,4127,STYLE,화이트
어디,5219,4904,OTHER,어디
캐주얼,5180,4594,STYLE,캐주얼
스투시,5123,4085,BRAND,스투시
시즌,5084,3597,OTHER,시즌
이유,5044,4749,OTHER,이유
부츠,5038,3635,ITEM,부츠
노,5011,4323,OTHER,노
주,4986,4322,OTHER,주
허리,4924,3290,OTHER,허리
이름,4908,4432,OTHER,이름
일본,4885,3430,OTHER,일본
라,4855,4293,OTHER,라
인,4834,4227,OTHER,인
세일,4833,3410,OTHER,세일
소재,4819,3450,OTHER,소재
조던,4767,4000,BRAND,조던
끈,4735,3017,OTHER,끈
보,4732,4035,OTHER,보
외,4729,4567,OTHER,외
디,4718,4054,OTHER,디
비슷,4691,4385,OTHER,비슷
벨트,4677,3343,ITEM,벨트
캡,4665,3766,ITEM,캡
시간,4650,3633,OTHER,시간
등등,4604,4476,OTHER,등등
미니멀,4603,4095,STYLE,미니멀
아카이브,4591,3979,OTHER,아카이브
카,4536,3719,OTHER,카
크림,4490,3675,OTHER,크림
이,4485,3322,STOPWORD,
반,4451,3765,OTHER,반
샵,4413,3243,OTHER,샵
이너,4409,3569,ITEM,이너
이것,4391,3931,OTHER,이것
가을,4379,3713,STYLE,가을
개인,4368,3343,OTHER,개인
품,4305,3505,OTHER,품
발렌시아,4295,2766,BRAND,발렌시아가
기본,4269,3489,OTHER,기본
아래,4253,3767,OTHER,아래
포터,4253,3271,BRAND,포터
마,4233,3128,OTHER,마
때문,4208,3551,OTHER,때문
차이,4195,3372,OTHER,차이
사,4193,3630,OTHER,사
구입,4186,2940,OTHER,구입
포스,4182,3538,ITEM,에어포스
질문,4165,3761,OTHER,질문
안경,4144,2831,ITEM,안경
필요,4129,3762,OTHER,필요
봄,4127,3523,STYLE,봄
ex,4094,1457,OTHER,ex
점,4087,3074,OTHER,점
안,4085,3590,OTHER,안
맛,4066,3514,OTHER,맛
가디건,4063,2997,ITEM,가디건
마틴,4053,3498,BRAND,마틴로즈
앞,4052,3521,OTHER,앞
최근,4035,3588,OTHER,최근
공,4033,3438,OTHER,공
쪽,4012,3371,OTHER,쪽
터,3995,3559,OTHER,터
검정,3995,3223,STYLE,블랙
슬랙스,3989,3198,ITEM,슬랙스
모드나인,3981,3432,BRAND,모드나인
쿠어,3973,3011,BRAND,쿠어
차,3970,2930,OTHER,차
아웃,3967,3277,OTHER,아웃
깔끔,3953,3446,STYLE,깔끔
스토어,3946,3197,OTHER,스토어
예정,3939,2746,OTHER,예정
리바이스,3900,2850,BRAND,리바이스
인사,3899,3288,OTHER,인사
정가,3873,3359,OTHER,정가
품절,3850,3516,OTHER,품절
나머지,3842,3804,OTHER,나머지
홈,3839,3237,OTHER,홈
오버,3824,3037,STYLE,오버
진,3822,3015,ITEM,진
사용,3817,2749,OTHER,사용
대,3790,3329,OTHER,대
치노,3782,2637,ITEM,치노
데일리,3768,3470,OTHER,데일리
팔,3753,3020,OTHER,팔
풀,3738,2695,OTHER,풀
청바지,3736,2979,ITEM,청바지
웨어,3703,2726,OTHER,웨어
활용,3695,3246,OTHER,활용
슈프림,3692,2801,BRAND,슈프림
라인,3671,2374,STYLE,라인
슬로우,3631,3153,BRAND,오어슬로우
etce,3626,2625,BRAND,etce
앤더슨벨,3607,2439,BRAND,앤더슨벨
울,3606,2488,OTHER,울
여기,3606,3146,STOPWORD,
스튜디오,3602,3154,OTHER,스튜디오
알,3591,2645,OTHER,알
오랜만,3584,3277,OTHER,오랜만
더블,3561,2523,OTHER,더블
단,3555,2744,OTHER,단
